"","tract","id","meals","hot_meals","home_meals","community_kitchen","child_meals","meal_other","groceries","pantry","backpack","home_groceries","mobile_pantry","mobile_market","supply_other","community_garden","groceries_other","food_ben","snap","wic","school","gift","food_ben_other","nonfood_ben","job","house","utility","legal","educ","health","counseling","trans","cloth","ref","medicaid","money","nonfood_ben_other","clients","Street.Address","City","State","Zip","County","povpop10071","povpopd71","povpop_1m","povpopd711mile","povpop_3m","povpopd713mile","nhwht71","pop71","nhwht711mile","nhwht713mile","blk71","blk711mile","blk713mile","hsp71","hsp711mile","hsp713mile","hhsnapfam271","hhsnapfam171","hhsnapfam2711mile","hh711mile","hhsnapfam2713mile","hh713mile","pov_rateT","pov_rate1","pov_rate3","white_rateT","white_rate1","white_rate3","black_rateT","black_rate1","black_rate3","hisp_rateT","hisp_rate1","hisp_rate3","snap_rateT","snap_rate1","snap_rate3","tract_short","county_fips"
"89","26163520800","281","No",NA,NA,NA,NA,NA,"Yes","Food pantry",NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Clothing/furniture",NA,NA,NA,NA,150,"1050 Porter St","Detroit","MI","48226","Wayne",195,1129,3054,4072,29001,59405,240,1129,1245,10492,768,3544,35000,59,118,12980,13,817,490,2917,9344,28578,0.172719220549159,0.75,0.48819122969447,0.212577502214349,0.305746561886051,0.176618129787055,0.680248007085917,0.870333988212181,0.589175995286592,0.0522586359610275,0.0289783889980354,0.218500126251999,0.0159118727050184,0.167980802194035,0.326964798096438,"163520800","163"
"90","26099263900","282","Yes","Soup kitchen/hot meals",NA,NA,"Meals/Snacks for children",NA,"Yes","Food pantry",NA,NA,NA,NA,NA,"Community garden",NA,"Yes","SNAP/FAP",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1399,"8129 Packard Avenue","Warren","MI","48089","Macomb",1033,3205,3553,14305,35037,126002,2201,3227,10690,59383,947,2993,60523,31,280,1597,389,1049,1691,5299,12866,47209,0.322308892355694,0.24837469416288,0.278067014809289,0.682057638673691,0.747291156938134,0.471286170060793,0.293461419274868,0.209227542817197,0.480333645497691,0.0096064456151224,0.0195735756728417,0.0126744019936191,0.370829361296473,0.319116814493301,0.27253277976657,"099263900","099"
"91","26163543600","283","Yes","Soup kitchen/hot meals",NA,NA,NA,NA,"Yes","Food pantry",NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Clothing/furniture",NA,NA,NA,NA,623,"15125 Burt Rd.","Detroit","MI","48223","Wayne",927,1595,7067,14896,42215,143237,224,1595,1169,22420,1241,13198,117137,103,545,2640,258,566,2200,5267,14338,52502,0.581191222570533,0.474422663802363,0.294721335967662,0.140438871473354,0.0784774436090226,0.156523803207272,0.778056426332288,0.886009667024705,0.81778451098529,0.064576802507837,0.0365870032223416,0.0184309919922925,0.45583038869258,0.417695082589709,0.27309435831016,"163543600","163"
"92","26163501500","285","No",NA,NA,NA,NA,NA,"Yes","Food pantry",NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,"Gift cards/vouchers for local grocery stores",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Clothing/furniture",NA,NA,NA,NA,220,"21001 Moross Road","Grosse Pointe","MI","48236","Wayne",741,4321,3857,12952,34238,156507,533,4329,1696,64409,3540,10670,86637,57,181,2137,303,1344,1029,4459,11816,56354,0.171488081462624,0.297791846819024,0.218763377995872,0.123123123123123,0.130945027794935,0.41154069786016,0.817740817740818,0.823810994441013,0.553566294159367,0.0131670131670132,0.0139746757257566,0.013654341339365,0.225446428571429,0.230769230769231,0.209674557263016,"163501500","163"
"93","26163514300","288","No",NA,NA,NA,NA,NA,"Yes","Food pantry",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,"Yes",NA,"Housing assistance",NA,NA,NA,"Health services",NA,NA,"Clothing/furniture","Referrals to other programs",NA,NA,NA,400,"5900 McClellan","Detroit","MI","48213","Wayne",1246,3061,5117,13323,53563,125686,42,3258,221,13318,3216,12976,110107,0,132,1232,504,1079,2131,4776,17508,43432,0.407056517477948,0.384072656308639,0.426165205353023,0.0128913443830571,0.0165878555880808,0.105962477921169,0.987108655616943,0.973954814981611,0.876048247219261,0,0.00990767845079937,0.00980220549623665,0.467099165894347,0.446189279731993,0.403112912138515,"163514300","163"
"94","26125126400","290","No",NA,NA,NA,NA,NA,"Yes","Food pantry",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,"Yes",NA,NA,"Utility assistance",NA,NA,NA,NA,NA,"Clothing/furniture",NA,NA,"Financial assistance, tax prep, budgeting",NA,560,"495 Broadway","Davisburg","MI","48350","Oakland",105,3566,NA,3566,707,13850,3499,3574,3499,13347,0,0,48,58,58,365,15,1298,15,1298,183,4976,0.0294447560291643,NA,0.0510469314079422,0.979015109121433,0.981211441390914,0.963682310469314,0,0,0.00346570397111913,0.0162283156127588,0.0162647223780146,0.0263537906137184,0.0115562403697997,0.0115562403697997,0.0367765273311897,"125126400","125"
"95","26163533100","292","No",NA,NA,NA,NA,NA,"Yes","Food pantry",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Clothing/furniture","Referrals to other programs",NA,NA,NA,8000,"8430 C. L. Franklin Boulevard","Detroit","MI","48206","Wayne",1347,2513,8123,16316,58517,143069,27,2513,423,15123,2398,15332,116881,88,182,7045,356,831,2368,6201,21928,55733,0.536012733784322,0.497854866388821,0.409012434559548,0.0107441305212893,0.0259254719293945,0.105704240611174,0.954237962594509,0.93969110075999,0.816955455060146,0.0350179068842022,0.0111546947781319,0.0492419741523321,0.428399518652226,0.381873891307854,0.393447329230438,"163533100","163"
"96","26163570400","293","No",NA,NA,NA,NA,NA,"Yes","Food pantry",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,"Counseling",NA,NA,NA,NA,NA,NA,72,"27628 Avondale","Inkster","MI","48141","Wayne",2041,5392,3504,14368,21881,119298,877,5392,4985,82241,4117,8702,28639,128,293,4376,925,1913,1815,5276,7896,45217,0.378523738872404,0.243875278396437,0.183414642324264,0.162648367952522,0.346951559020045,0.689374507535751,0.763538575667656,0.60565144766147,0.240062700129089,0.0237388724035608,0.0203925389755011,0.0366812519908129,0.483533716675379,0.344010614101592,0.174624588097397,"163570400","163"
"97","26163505400","294","No",NA,NA,NA,NA,NA,"Yes","Food pantry",NA,"Home delivered groceries",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,"Yes","Job training/assistance","Housing assistance",NA,NA,"GED Programs","Health services","Counseling",NA,"Clothing/furniture","Referrals to other programs",NA,NA,NA,1200,"13560 E. McNichols","Detroit","MI","48205","Wayne",1687,3390,9590,19351,53835,149334,68,3390,509,15993,3312,18134,127388,0,106,1402,463,949,2725,5874,18999,49146,0.4976401179941,0.495581623688698,0.360500622765077,0.0200589970501475,0.0263035502041238,0.107095504037928,0.976991150442478,0.937109193323342,0.853040834639131,0,0.00547775308769573,0.00938835094486185,0.487881981032666,0.463908750425604,0.386582834818703,"163505400","163"
"98","26125145600","300","No",NA,NA,NA,NA,NA,"Yes","Food pantry",NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1700,"6020 Pontiac Lake Rd.","Waterford","MI","48327","Oakland",473,4257,886,4257,5378,46853,4047,4257,4047,42505,95,95,1089,95,95,1985,180,1785,180,1785,1098,18911,0.111111111111111,0.208127789523138,0.114784538876913,0.950669485553207,0.950669485553207,0.90719911211662,0.0223161851068828,0.0223161851068828,0.0232429086718033,0.0223161851068828,0.0223161851068828,0.0423665507011291,0.100840336134454,0.100840336134454,0.0580614457194226,"125145600","125"
